School Decile,Māori,European/ Pākehā,Immersion Level 1,Immersion None,clusters,cluster
8.0,209,983,0,1248,1,purple
8.0,180,977,0,1284,1,purple
8.0,221,1007,0,1283,1,purple
8.0,203,964,0,1273,1,purple
8.0,194,942,0,1233,1,purple
8.0,183,928,0,1257,1,purple
8.0,197,991,0,1325,1,purple
8.0,219,1061,0,1453,1,purple
8.0,220,1048,0,1481,1,purple
8.0,227,1057,0,1563,1,purple
8.0,220,1040,0,1643,1,purple
5.0,512,980,19,2211,1,purple
5.0,503,909,44,2110,1,purple
5.0,473,880,62,2017,1,purple
5.0,464,873,37,1819,1,purple
5.0,439,826,5,1754,1,purple
4.0,461,744,0,1664,1,purple
4.0,457,699,0,1559,1,purple
4.0,424,607,0,1470,1,purple
4.0,409,565,0,1421,1,purple
4.0,386,498,0,1289,1,purple
4.0,372,496,0,1215,1,purple
4.0,369,480,0,1131,2,dark purple
4.0,378,499,0,859,2,dark purple
4.0,416,510,0,1168,1,purple
4.0,441,545,0,1334,1,purple
3.0,284,329,0,1053,2,dark purple
3.0,329,353,0,1155,2,dark purple
3.0,337,399,0,1282,1,purple
3.0,350,402,0,1260,1,purple
3.0,321,390,0,1216,1,purple
3.0,298,406,0,1232,1,purple
3.0,277,390,0,1165,2,dark purple
3.0,298,356,0,1175,2,dark purple
3.0,296,352,0,1157,2,dark purple
3.0,332,340,0,1186,2,dark purple
3.0,358,349,0,1174,2,dark purple
3.0,383,340,0,1268,1,purple
3.0,415,354,0,1334,1,purple
3.0,430,376,0,1420,1,purple
3.0,497,395,0,1611,1,purple
4.0,159,382,0,636,2,dark purple
4.0,137,291,0,3,0,pink
4.0,129,286,0,0,0,pink
4.0,137,265,0,0,0,pink
4.0,138,284,0,0,0,pink
3.0,148,286,0,0,0,pink
3.0,179,312,0,0,0,pink
3.0,182,355,0,3,0,pink
3.0,186,380,0,0,0,pink
3.0,217,383,0,650,2,dark purple
3.0,254,405,0,0,0,pink
3.0,253,400,0,0,0,pink
3.0,246,346,0,0,0,pink
3.0,266,323,0,0,0,pink
3.0,293,279,0,0,0,pink
5.0,55,307,0,658,2,dark purple
5.0,56,308,0,654,2,dark purple
5.0,61,286,0,674,2,dark purple
5.0,68,279,0,659,2,dark purple
5.0,78,283,0,666,2,dark purple
5.0,80,287,0,689,2,dark purple
5.0,78,270,0,757,2,dark purple
5.0,71,277,0,740,2,dark purple
5.0,66,259,0,736,2,dark purple
5.0,74,246,0,778,2,dark purple
5.0,73,241,0,774,2,dark purple
5.0,70,229,0,738,2,dark purple
5.0,68,234,0,717,2,dark purple
5.0,86,222,0,692,2,dark purple
5.0,85,227,0,692,2,dark purple
6.0,83,384,0,834,2,dark purple
6.0,84,348,0,812,2,dark purple
6.0,86,357,0,680,2,dark purple
6.0,89,354,0,618,2,dark purple
6.0,94,331,0,557,2,dark purple
5.0,87,312,0,600,2,dark purple
5.0,86,311,0,601,2,dark purple
5.0,84,285,0,594,2,dark purple
5.0,84,254,0,529,2,dark purple
5.0,86,227,0,531,2,dark purple
5.0,94,230,0,553,2,dark purple
5.0,93,244,0,543,2,dark purple
5.0,89,238,0,514,2,dark purple
5.0,92,204,0,478,2,dark purple
5.0,85,209,0,502,2,dark purple
8.0,195,705,46,999,2,dark purple
8.0,216,738,64,1054,1,purple
8.0,260,746,76,1073,1,purple
8.0,292,725,87,1055,1,purple
8.0,318,737,90,847,2,dark purple
8.0,343,757,95,881,2,dark purple
8.0,352,766,86,874,2,dark purple
8.0,330,764,91,875,2,dark purple
8.0,316,778,88,885,2,dark purple
8.0,353,829,99,919,1,purple
8.0,416,855,149,979,1,purple
8.0,438,880,145,1028,1,purple
8.0,473,868,155,1078,1,purple
8.0,501,875,160,1133,1,purple
8.0,496,804,120,1132,1,purple
4.0,131,231,0,639,2,dark purple
4.0,140,217,0,681,2,dark purple
4.0,123,221,0,614,2,dark purple
4.0,131,249,0,761,2,dark purple
4.0,139,326,0,718,2,dark purple
4.0,139,356,0,763,2,dark purple
4.0,128,403,0,774,2,dark purple
4.0,132,438,0,818,2,dark purple
4.0,131,480,0,860,2,dark purple
4.0,134,502,0,824,2,dark purple
4.0,150,551,0,919,2,dark purple
4.0,152,586,0,725,2,dark purple
4.0,154,624,0,785,2,dark purple
4.0,145,643,0,833,2,dark purple
4.0,148,675,0,1419,1,purple
7.0,83,482,0,0,0,pink
7.0,78,512,0,0,0,pink
7.0,76,553,0,0,0,pink
7.0,69,587,0,0,0,pink
7.0,67,621,0,0,0,pink
8.0,76,616,0,0,0,pink
8.0,80,622,0,2,0,pink
8.0,85,616,0,1,0,pink
8.0,89,604,0,0,0,pink
8.0,89,597,0,0,0,pink
8.0,101,583,0,0,0,pink
8.0,104,528,0,0,0,pink
8.0,110,483,0,0,0,pink
8.0,120,426,0,0,0,pink
8.0,133,387,0,1,0,pink
3.0,18,3,0,183,0,pink
3.0,16,3,0,202,0,pink
3.0,23,6,0,240,0,pink
3.0,38,3,0,207,0,pink
3.0,39,3,0,217,0,pink
2.0,36,4,0,223,0,pink
2.0,28,3,0,180,0,pink
2.0,28,2,0,185,0,pink
2.0,27,4,0,148,0,pink
2.0,31,7,0,158,0,pink
2.0,43,8,0,181,0,pink
2.0,60,13,0,351,0,pink
2.0,70,15,0,387,0,pink
2.0,80,15,0,390,0,pink
2.0,95,18,0,409,0,pink
5.0,313,242,0,1225,2,dark purple
5.0,321,209,0,1254,2,dark purple
5.0,334,181,0,1222,2,dark purple
5.0,330,132,0,1186,2,dark purple
5.0,339,114,0,1201,2,dark purple
